City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
416,moerai,-22.4333,-151.3333,26.14,78,50,6.15,PF,1675789710
417,pimentel,-6.8367,-79.9342,29.16,54,0,3.6,PE,1675789710
418,jizan,17.3333,42.6667,27.05,65,17,4.28,SA,1675789710
419,annapolis,38.9785,-76.4922,8.08,67,0,4.12,US,1675789707
420,dhidhdhoo,6.8833,73.1,27.07,71,75,4.45,MV,1675789689
421,vestmannaeyjar,63.4427,-20.2734,0.55,93,100,11.83,IS,1675789553
422,teahupoo,-17.8333,-149.2667,22.98,70,44,4.18,PF,1675789712
423,virginia beach,36.8529,-75.978,12.25,58,40,4.12,US,1675789712
424,ninh binh,20.2539,105.975,20.42,94,100,2.57,VN,1675789713
425,alice springs,-23.7,133.8833,25.75,69,40,0.0,AU,1675789714
426,bairiki,1.3292,172.9752,28.0,78,20,7.2,KI,1675789716
427,havoysund,70.9963,24.6622,2.13,72,75,20.34,NO,1675789717
428,tiarei,-17.5333,-149.3333,26.01,68,24,4.78,PF,1675789717
429,rakke,58.9817,26.2544,-1.46,92,85,3.96,EE,1675789718
430,zhigansk,66.7697,123.3711,-46.57,100,94,1.13,RU,1675789718
431,oriximina,-1.7656,-55.8661,29.14,73,72,0.7,BR,1675789719
432,ushtobe,45.2514,77.9838,-3.55,95,59,2.69,KZ,1675789719
433,harindanga,22.0383,88.3214,21.82,75,0,4.64,IN,1675789720
434,tabou,4.423,-7.3528,28.21,74,89,4.62,CI,1675789720
435,spirit river,55.7833,-118.8361,-2.97,75,65,3.05,CA,1675789721
436,itupiranga,-5.1347,-49.3267,29.13,69,85,1.83,BR,1675789722
437,valparaiso,-33.0393,-71.6273,23.33,74,100,3.6,CL,1675789589
438,el centro,32.792,-115.563,16.99,30,0,6.69,US,1675789722
439,palmer,42.1584,-72.3287,3.61,31,29,0.89,US,1675789723
440,yatou,37.15,122.3833,0.29,64,23,3.06,CN,1675789723
441,mariental,-24.6333,17.9667,26.62,52,65,5.66,NA,1675789724
442,mandalgovi,45.7625,106.2708,-14.76,94,11,2.35,MN,1675789724
443,maraa,-1.8333,-65.3667,28.8,73,94,1.88,BR,1675789674
444,jian,27.1172,114.9793,10.6,93,100,1.57,CN,1675789725
445,kandrian,-6.2167,149.55,25.61,90,100,5.78,PG,1675789725
446,mantenopolis,-18.8625,-41.1228,29.58,59,61,2.4,BR,1675789725
447,novobirilyussy,56.9514,90.6661,-8.52,96,100,2.77,RU,1675789726
448,monrovia,6.3005,-10.7969,28.87,75,50,4.97,LR,1675789726
449,lasa,46.6166,10.7002,-1.84,83,2,2.42,IT,1675789727
450,port blair,11.6667,92.75,25.75,75,13,4.1,IN,1675789727
451,humberto de campos,-2.5983,-43.4611,28.41,74,100,3.06,BR,1675789727
452,pangoa,-12.1167,-73.0,29.18,51,92,1.46,PE,1675789728
453,vanimo,-2.6741,141.3028,24.74,96,100,3.63,PG,1675789728
454,belyy yar,53.6039,91.3903,-16.75,85,100,1.0,RU,1675789728
455,marawi,7.9986,124.2928,19.41,93,100,0.61,PH,1675789729
456,fernie,49.5,-115.0687,0.68,97,100,2.85,CA,1675789610
457,san cristobal,7.7669,-72.225,28.21,41,42,3.47,VE,1675789729
458,jati,24.3539,68.2671,22.91,37,17,3.57,PK,1675789730
459,sao gabriel da cachoeira,-0.1303,-67.0892,30.22,67,91,0.72,BR,1675789730
